commodity,moisture_content,fat_oil_content,ph,respiration_rate,required_shelf_life,storage_temperature,storage_humidity,storage_condition,transport_condition,recommended_packaging_material,_split_group
potato_chips,1.86,34.0,6.2,0.0,180,25.0,60.0,ambient,local,foil_laminate,potato_chips:54
potato_chips,1.86,34.0,6.2,0.0,180,25.0,60.0,ambient,long,foil_laminate,potato_chips:55
potato_chips,1.86,34.0,6.2,0.0,180,25.0,60.0,ambient,rough,foil_laminate,potato_chips:56
potato_chips,1.86,34.0,6.2,0.0,270,25.0,60.0,ambient,local,foil_laminate,potato_chips:57
potato_chips,1.86,34.0,6.2,0.0,270,25.0,60.0,ambient,long,foil_laminate,potato_chips:58
potato_chips,1.86,34.0,6.2,0.0,270,25.0,60.0,ambient,rough,foil_laminate,potato_chips:59
potato_chips,1.86,34.0,6.2,0.0,30,25.0,80.0,ambient,local,metallized_laminate,potato_chips:60
potato_chips,1.86,34.0,6.2,0.0,30,25.0,80.0,ambient,long,metallized_laminate,potato_chips:61
potato_chips,1.86,34.0,6.2,0.0,30,25.0,80.0,ambient,rough,foil_laminate,potato_chips:62
potato_chips,1.86,34.0,6.2,0.0,90,25.0,80.0,ambient,local,metallized_laminate,potato_chips:63
potato_chips,1.86,34.0,6.2,0.0,90,25.0,80.0,ambient,long,metallized_laminate,potato_chips:64
potato_chips,1.86,34.0,6.2,0.0,90,25.0,80.0,ambient,rough,foil_laminate,potato_chips:65
potato_chips,1.86,34.0,6.2,0.0,180,25.0,80.0,ambient,local,foil_laminate,potato_chips:66
potato_chips,1.86,34.0,6.2,0.0,180,25.0,80.0,ambient,long,foil_laminate,potato_chips:67
potato_chips,1.86,34.0,6.2,0.0,180,25.0,80.0,ambient,rough,foil_laminate,potato_chips:68
potato_chips,1.86,34.0,6.2,0.0,270,25.0,80.0,ambient,local,foil_laminate,potato_chips:69
potato_chips,1.86,34.0,6.2,0.0,270,25.0,80.0,ambient,long,foil_laminate,potato_chips:70
potato_chips,1.86,34.0,6.2,0.0,270,25.0,80.0,ambient,rough,foil_laminate,potato_chips:71
biscuits,4.0,12.0,6.5,0.0,30,20.0,40.0,ambient,local,bopp_cpp_pouch,biscuits:0
biscuits,4.0,12.0,6.5,0.0,30,20.0,40.0,ambient,long,metallized_laminate,biscuits:1
biscuits,4.0,12.0,6.5,0.0,30,20.0,40.0,ambient,rough,metallized_laminate,biscuits:2
biscuits,4.0,12.0,6.5,0.0,90,20.0,40.0,ambient,local,metallized_laminate,biscuits:3
biscuits,4.0,12.0,6.5,0.0,90,20.0,40.0,ambient,long,metallized_laminate,biscuits:4
biscuits,4.0,12.0,6.5,0.0,90,20.0,40.0,ambient,rough,metallized_laminate,biscuits:5
biscuits,4.0,12.0,6.5,0.0,180,20.0,40.0,ambient,local,metallized_laminate,biscuits:6
biscuits,4.0,12.0,6.5,0.0,180,20.0,40.0,ambient,long,metallized_laminate,biscuits:7
biscuits,4.0,12.0,6.5,0.0,180,20.0,40.0,ambient,rough,metallized_laminate,biscuits:8
biscuits,4.0,12.0,6.5,0.0,30,20.0,60.0,ambient,local,bopp_cpp_pouch,biscuits:9
biscuits,4.0,12.0,6.5,0.0,30,20.0,60.0,ambient,long,metallized_laminate,biscuits:10
biscuits,4.0,12.0,6.5,0.0,30,20.0,60.0,ambient,rough,metallized_laminate,biscuits:11
biscuits,4.0,12.0,6.5,0.0,90,20.0,60.0,ambient,local,metallized_laminate,biscuits:12
biscuits,4.0,12.0,6.5,0.0,90,20.0,60.0,ambient,long,metallized_laminate,biscuits:13
biscuits,4.0,12.0,6.5,0.0,90,20.0,60.0,ambient,rough,metallized_laminate,biscuits:14
biscuits,4.0,12.0,6.5,0.0,180,20.0,60.0,ambient,local,metallized_laminate,biscuits:15
biscuits,4.0,12.0,6.5,0.0,180,20.0,60.0,ambient,long,metallized_laminate,biscuits:16
biscuits,4.0,12.0,6.5,0.0,180,20.0,60.0,ambient,rough,metallized_laminate,biscuits:17
biscuits,4.0,12.0,6.5,0.0,30,20.0,80.0,ambient,local,bopp_cpp_pouch,biscuits:18
biscuits,4.0,12.0,6.5,0.0,30,20.0,80.0,ambient,long,metallized_laminate,biscuits:19
biscuits,4.0,12.0,6.5,0.0,30,20.0,80.0,ambient,rough,metallized_laminate,biscuits:20
biscuits,4.0,12.0,6.5,0.0,90,20.0,80.0,ambient,local,metallized_laminate,biscuits:21
biscuits,4.0,12.0,6.5,0.0,90,20.0,80.0,ambient,long,metallized_laminate,biscuits:22
biscuits,4.0,12.0,6.5,0.0,90,20.0,80.0,ambient,rough,metallized_laminate,biscuits:23
biscuits,4.0,12.0,6.5,0.0,180,20.0,80.0,ambient,local,metallized_laminate,biscuits:24
biscuits,4.0,12.0,6.5,0.0,180,20.0,80.0,ambient,long,metallized_laminate,biscuits:25
biscuits,4.0,12.0,6.5,0.0,180,20.0,80.0,ambient,rough,metallized_laminate,biscuits:26
biscuits,4.0,12.0,6.5,0.0,30,25.0,40.0,ambient,local,bopp_cpp_pouch,biscuits:27
biscuits,4.0,12.0,6.5,0.0,30,25.0,40.0,ambient,long,metallized_laminate,biscuits:28
biscuits,4.0,12.0,6.5,0.0,30,25.0,40.0,ambient,rough,metallized_laminate,biscuits:29
biscuits,4.0,12.0,6.5,0.0,90,25.0,40.0,ambient,local,metallized_laminate,biscuits:30
biscuits,4.0,12.0,6.5,0.0,90,25.0,40.0,ambient,long,metallized_laminate,biscuits:31
biscuits,4.0,12.0,6.5,0.0,90,25.0,40.0,ambient,rough,metallized_laminate,biscuits:32
biscuits,4.0,12.0,6.5,0.0,180,25.0,40.0,ambient,local,metallized_laminate,biscuits:33
biscuits,4.0,12.0,6.5,0.0,180,25.0,40.0,ambient,long,metallized_laminate,biscuits:34
biscuits,4.0,12.0,6.5,0.0,180,25.0,40.0,ambient,rough,metallized_laminate,biscuits:35
biscuits,4.0,12.0,6.5,0.0,30,25.0,60.0,ambient,local,bopp_cpp_pouch,biscuits:36
biscuits,4.0,12.0,6.5,0.0,30,25.0,60.0,ambient,long,metallized_laminate,biscuits:37
biscuits,4.0,12.0,6.5,0.0,30,25.0,60.0,ambient,rough,metallized_laminate,biscuits:38
biscuits,4.0,12.0,6.5,0.0,90,25.0,60.0,ambient,local,metallized_laminate,biscuits:39
biscuits,4.0,12.0,6.5,0.0,90,25.0,60.0,ambient,long,metallized_laminate,biscuits:40
biscuits,4.0,12.0,6.5,0.0,90,25.0,60.0,ambient,rough,metallized_laminate,biscuits:41
biscuits,4.0,12.0,6.5,0.0,180,25.0,60.0,ambient,local,metallized_laminate,biscuits:42
biscuits,4.0,12.0,6.5,0.0,180,25.0,60.0,ambient,long,metallized_laminate,biscuits:43
biscuits,4.0,12.0,6.5,0.0,180,25.0,60.0,ambient,rough,metallized_laminate,biscuits:44
biscuits,4.0,12.0,6.5,0.0,30,25.0,80.0,ambient,local,bopp_cpp_pouch,biscuits:45
biscuits,4.0,12.0,6.5,0.0,30,25.0,80.0,ambient,long,metallized_laminate,biscuits:46
biscuits,4.0,12.0,6.5,0.0,30,25.0,80.0,ambient,rough,metallized_laminate,biscuits:47
biscuits,4.0,12.0,6.5,0.0,90,25.0,80.0,ambient,local,metallized_laminate,biscuits:48
biscuits,4.0,12.0,6.5,0.0,90,25.0,80.0,ambient,long,metallized_laminate,biscuits:49
biscuits,4.0,12.0,6.5,0.0,90,25.0,80.0,ambient,rough,metallized_laminate,biscuits:50
biscuits,4.0,12.0,6.5,0.0,180,25.0,80.0,ambient,local,metallized_laminate,biscuits:51
biscuits,4.0,12.0,6.5,0.0,180,25.0,80.0,ambient,long,metallized_laminate,biscuits:52
biscuits,4.0,12.0,6.5,0.0,180,25.0,80.0,ambient,rough,metallized_laminate,biscuits:53
pasteurized_milk,88.1,3.2,6.7,0.0,5,2.0,60.0,chilled,cold,hdpe_bottle,pasteurized_milk:0
pasteurized_milk,88.1,3.2,6.7,0.0,5,2.0,60.0,chilled,local,hdpe_bottle,pasteurized_milk:1
pasteurized_milk,88.1,3.2,6.7,0.0,7,2.0,60.0,chilled,cold,hdpe_bottle,pasteurized_milk:2
pasteurized_milk,88.1,3.2,6.7,0.0,7,2.0,60.0,chilled,local,hdpe_bottle,pasteurized_milk:3
pasteurized_milk,88.1,3.2,6.7,0.0,10,2.0,60.0,chilled,cold,hdpe_bottle,pasteurized_milk:4
pasteurized_milk,88.1,3.2,6.7,0.0,10,2.0,60.0,chilled,local,hdpe_bottle,pasteurized_milk:5
pasteurized_milk,88.1,3.2,6.7,0.0,5,2.0,75.0,chilled,cold,hdpe_bottle,pasteurized_milk:6
pasteurized_milk,88.1,3.2,6.7,0.0,5,2.0,75.0,chilled,local,hdpe_bottle,pasteurized_milk:7
pasteurized_milk,88.1,3.2,6.7,0.0,7,2.0,75.0,chilled,cold,hdpe_bottle,pasteurized_milk:8
pasteurized_milk,88.1,3.2,6.7,0.0,7,2.0,75.0,chilled,local,hdpe_bottle,pasteurized_milk:9
pasteurized_milk,88.1,3.2,6.7,0.0,10,2.0,75.0,chilled,cold,hdpe_bottle,pasteurized_milk:10
pasteurized_milk,88.1,3.2,6.7,0.0,10,2.0,75.0,chilled,local,hdpe_bottle,pasteurized_milk:11
pasteurized_milk,88.1,3.2,6.7,0.0,5,4.0,60.0,chilled,cold,hdpe_bottle,pasteurized_milk:12
pasteurized_milk,88.1,3.2,6.7,0.0,5,4.0,60.0,chilled,local,hdpe_bottle,pasteurized_milk:13
pasteurized_milk,88.1,3.2,6.7,0.0,7,4.0,60.0,chilled,cold,hdpe_bottle,pasteurized_milk:14
pasteurized_milk,88.1,3.2,6.7,0.0,7,4.0,60.0,chilled,local,hdpe_bottle,pasteurized_milk:15
pasteurized_milk,88.1,3.2,6.7,0.0,10,4.0,60.0,chilled,cold,hdpe_bottle,pasteurized_milk:16
pasteurized_milk,88.1,3.2,6.7,0.0,10,4.0,60.0,chilled,local,hdpe_bottle,pasteurized_milk:17
pasteurized_milk,88.1,3.2,6.7,0.0,5,4.0,75.0,chilled,cold,hdpe_bottle,pasteurized_milk:18
pasteurized_milk,88.1,3.2,6.7,0.0,5,4.0,75.0,chilled,local,hdpe_bottle,pasteurized_milk:19
pasteurized_milk,88.1,3.2,6.7,0.0,7,4.0,75.0,chilled,cold,hdpe_bottle,pasteurized_milk:20
pasteurized_milk,88.1,3.2,6.7,0.0,7,4.0,75.0,chilled,local,hdpe_bottle,pasteurized_milk:21
pasteurized_milk,88.1,3.2,6.7,0.0,10,4.0,75.0,chilled,cold,hdpe_bottle,pasteurized_milk:22
pasteurized_milk,88.1,3.2,6.7,0.0,10,4.0,75.0,chilled,local,hdpe_bottle,pasteurized_milk:23
pasteurized_milk,88.1,3.2,6.7,0.0,5,8.0,60.0,chilled,cold,hdpe_bottle,pasteurized_milk:24
pasteurized_milk,88.1,3.2,6.7,0.0,5,8.0,60.0,chilled,local,hdpe_bottle,pasteurized_milk:25
pasteurized_milk,88.1,3.2,6.7,0.0,7,8.0,60.0,chilled,cold,hdpe_bottle,pasteurized_milk:26
pasteurized_milk,88.1,3.2,6.7,0.0,7,8.0,60.0,chilled,local,hdpe_bottle,pasteurized_milk:27
pasteurized_milk,88.1,3.2,6.7,0.0,10,8.0,60.0,chilled,cold,hdpe_bottle,pasteurized_milk:28
pasteurized_milk,88.1,3.2,6.7,0.0,10,8.0,60.0,chilled,local,hdpe_bottle,pasteurized_milk:29
pasteurized_milk,88.1,3.2,6.7,0.0,5,8.0,75.0,chilled,cold,hdpe_bottle,pasteurized_milk:30
pasteurized_milk,88.1,3.2,6.7,0.0,5,8.0,75.0,chilled,local,hdpe_bottle,pasteurized_milk:31
pasteurized_milk,88.1,3.2,6.7,0.0,7,8.0,75.0,chilled,cold,hdpe_bottle,pasteurized_milk:32
pasteurized_milk,88.1,3.2,6.7,0.0,7,8.0,75.0,chilled,local,hdpe_bottle,pasteurized_milk:33
pasteurized_milk,88.1,3.2,6.7,0.0,10,8.0,75.0,chilled,cold,hdpe_bottle,pasteurized_milk:34
pasteurized_milk,88.1,3.2,6.7,0.0,10,8.0,75.0,chilled,local,hdpe_bottle,pasteurized_milk:35
frozen_vegetables,80.0,1.0,6.0,0.0,90,-18.0,60.0,frozen,cold,freezer_pe_bag,frozen_vegetables:0
frozen_vegetables,80.0,1.0,6.0,0.0,90,-18.0,60.0,frozen,rough,freezer_pe_bag,frozen_vegetables:1
frozen_vegetables,80.0,1.0,6.0,0.0,180,-18.0,60.0,frozen,cold,freezer_pe_bag,frozen_vegetables:2
frozen_vegetables,80.0,1.0,6.0,0.0,180,-18.0,60.0,frozen,rough,freezer_pe_bag,frozen_vegetables:3
frozen_vegetables,80.0,1.0,6.0,0.0,365,-18.0,60.0,frozen,cold,freezer_pe_bag,frozen_vegetables:4
frozen_vegetables,80.0,1.0,6.0,0.0,365,-18.0,60.0,frozen,rough,freezer_pe_bag,frozen_vegetables:5
frozen_vegetables,80.0,1.0,6.0,0.0,90,-18.0,75.0,frozen,cold,freezer_pe_bag,frozen_vegetables:6
frozen_vegetables,80.0,1.0,6.0,0.0,90,-18.0,75.0,frozen,rough,freezer_pe_bag,frozen_vegetables:7
frozen_vegetables,80.0,1.0,6.0,0.0,180,-18.0,75.0,frozen,cold,freezer_pe_bag,frozen_vegetables:8
frozen_vegetables,80.0,1.0,6.0,0.0,180,-18.0,75.0,frozen,rough,freezer_pe_bag,frozen_vegetables:9
frozen_vegetables,80.0,1.0,6.0,0.0,365,-18.0,75.0,frozen,cold,freezer_pe_bag,frozen_vegetables:10
frozen_vegetables,80.0,1.0,6.0,0.0,365,-18.0,75.0,frozen,rough,freezer_pe_bag,frozen_vegetables:11
frozen_vegetables,80.0,1.0,6.0,0.0,90,-18.0,90.0,frozen,cold,freezer_pe_bag,frozen_vegetables:12
frozen_vegetables,80.0,1.0,6.0,0.0,90,-18.0,90.0,frozen,rough,freezer_pe_bag,frozen_vegetables:13
frozen_vegetables,80.0,1.0,6.0,0.0,180,-18.0,90.0,frozen,cold,freezer_pe_bag,frozen_vegetables:14
frozen_vegetables,80.0,1.0,6.0,0.0,180,-18.0,90.0,frozen,rough,freezer_pe_bag,frozen_vegetables:15
frozen_vegetables,80.0,1.0,6.0,0.0,365,-18.0,90.0,frozen,cold,freezer_pe_bag,frozen_vegetables:16
frozen_vegetables,80.0,1.0,6.0,0.0,365,-18.0,90.0,frozen,rough,freezer_pe_bag,frozen_vegetables:17
frozen_vegetables,80.0,1.0,6.0,0.0,90,-12.0,60.0,frozen,cold,freezer_pe_bag,frozen_vegetables:18
frozen_vegetables,80.0,1.0,6.0,0.0,90,-12.0,60.0,frozen,rough,freezer_pe_bag,frozen_vegetables:19
frozen_vegetables,80.0,1.0,6.0,0.0,180,-12.0,60.0,frozen,cold,freezer_pe_bag,frozen_vegetables:20
frozen_vegetables,80.0,1.0,6.0,0.0,180,-12.0,60.0,frozen,rough,freezer_pe_bag,frozen_vegetables:21
frozen_vegetables,80.0,1.0,6.0,0.0,365,-12.0,60.0,frozen,cold,freezer_pe_bag,frozen_vegetables:22
frozen_vegetables,80.0,1.0,6.0,0.0,365,-12.0,60.0,frozen,rough,freezer_pe_bag,frozen_vegetables:23
frozen_vegetables,80.0,1.0,6.0,0.0,90,-12.0,75.0,frozen,cold,freezer_pe_bag,frozen_vegetables:24
frozen_vegetables,80.0,1.0,6.0,0.0,90,-12.0,75.0,frozen,rough,freezer_pe_bag,frozen_vegetables:25
frozen_vegetables,80.0,1.0,6.0,0.0,180,-12.0,75.0,frozen,cold,freezer_pe_bag,frozen_vegetables:26
frozen_vegetables,80.0,1.0,6.0,0.0,180,-12.0,75.0,frozen,rough,freezer_pe_bag,frozen_vegetables:27
frozen_vegetables,80.0,1.0,6.0,0.0,365,-12.0,75.0,frozen,cold,freezer_pe_bag,frozen_vegetables:28
frozen_vegetables,80.0,1.0,6.0,0.0,365,-12.0,75.0,frozen,rough,freezer_pe_bag,frozen_vegetables:29
frozen_vegetables,80.0,1.0,6.0,0.0,90,-12.0,90.0,frozen,cold,freezer_pe_bag,frozen_vegetables:30
frozen_vegetables,80.0,1.0,6.0,0.0,90,-12.0,90.0,frozen,rough,freezer_pe_bag,frozen_vegetables:31
frozen_vegetables,80.0,1.0,6.0,0.0,180,-12.0,90.0,frozen,cold,freezer_pe_bag,frozen_vegetables:32
frozen_vegetables,80.0,1.0,6.0,0.0,180,-12.0,90.0,frozen,rough,freezer_pe_bag,frozen_vegetables:33
frozen_vegetables,80.0,1.0,6.0,0.0,365,-12.0,90.0,frozen,cold,freezer_pe_bag,frozen_vegetables:34
frozen_vegetables,80.0,1.0,6.0,0.0,365,-12.0,90.0,frozen,rough,freezer_pe_bag,frozen_vegetables:35
lentils,8.26,1.06,6.4,0.0,90,20.0,40.0,ambient,local,bopp_cpp_pouch,lentils:0
lentils,8.26,1.06,6.4,0.0,90,20.0,40.0,ambient,long,bopp_cpp_pouch,lentils:1
lentils,8.26,1.06,6.4,0.0,90,20.0,40.0,ambient,rough,woven_pp_pe_liner_sack,lentils:2
lentils,8.26,1.06,6.4,0.0,180,20.0,40.0,ambient,local,woven_pp_pe_liner_sack,lentils:3
lentils,8.26,1.06,6.4,0.0,180,20.0,40.0,ambient,long,woven_pp_pe_liner_sack,lentils:4
lentils,8.26,1.06,6.4,0.0,180,20.0,40.0,ambient,rough,woven_pp_pe_liner_sack,lentils:5
lentils,8.26,1.06,6.4,0.0,365,20.0,40.0,ambient,local,woven_pp_pe_liner_sack,lentils:6
lentils,8.26,1.06,6.4,0.0,365,20.0,40.0,ambient,long,woven_pp_pe_liner_sack,lentils:7
lentils,8.26,1.06,6.4,0.0,365,20.0,40.0,ambient,rough,woven_pp_pe_liner_sack,lentils:8
lentils,8.26,1.06,6.4,0.0,90,20.0,60.0,ambient,local,bopp_cpp_pouch,lentils:9
lentils,8.26,1.06,6.4,0.0,90,20.0,60.0,ambient,long,bopp_cpp_pouch,lentils:10
lentils,8.26,1.06,6.4,0.0,90,20.0,60.0,ambient,rough,woven_pp_pe_liner_sack,lentils:11
lentils,8.26,1.06,6.4,0.0,180,20.0,60.0,ambient,local,woven_pp_pe_liner_sack,lentils:12
lentils,8.26,1.06,6.4,0.0,180,20.0,60.0,ambient,long,woven_pp_pe_liner_sack,lentils:13
lentils,8.26,1.06,6.4,0.0,180,20.0,60.0,ambient,rough,woven_pp_pe_liner_sack,lentils:14
lentils,8.26,1.06,6.4,0.0,365,20.0,60.0,ambient,local,woven_pp_pe_liner_sack,lentils:15
lentils,8.26,1.06,6.4,0.0,365,20.0,60.0,ambient,long,woven_pp_pe_liner_sack,lentils:16
lentils,8.26,1.06,6.4,0.0,365,20.0,60.0,ambient,rough,woven_pp_pe_liner_sack,lentils:17
lentils,8.26,1.06,6.4,0.0,90,20.0,80.0,ambient,local,woven_pp_pe_liner_sack,lentils:18
lentils,8.26,1.06,6.4,0.0,90,20.0,80.0,ambient,long,woven_pp_pe_liner_sack,lentils:19
lentils,8.26,1.06,6.4,0.0,90,20.0,80.0,ambient,rough,woven_pp_pe_liner_sack,lentils:20
lentils,8.26,1.06,6.4,0.0,180,20.0,80.0,ambient,local,woven_pp_pe_liner_sack,lentils:21
lentils,8.26,1.06,6.4,0.0,180,20.0,80.0,ambient,long,woven_pp_pe_liner_sack,lentils:22
lentils,8.26,1.06,6.4,0.0,180,20.0,80.0,ambient,rough,woven_pp_pe_liner_sack,lentils:23
lentils,8.26,1.06,6.4,0.0,365,20.0,80.0,ambient,local,woven_pp_pe_liner_sack,lentils:24
lentils,8.26,1.06,6.4,0.0,365,20.0,80.0,ambient,long,woven_pp_pe_liner_sack,lentils:25
lentils,8.26,1.06,6.4,0.0,365,20.0,80.0,ambient,rough,woven_pp_pe_liner_sack,lentils:26
lentils,8.26,1.06,6.4,0.0,90,25.0,40.0,ambient,local,bopp_cpp_pouch,lentils:27
lentils,8.26,1.06,6.4,0.0,90,25.0,40.0,ambient,long,bopp_cpp_pouch,lentils:28
lentils,8.26,1.06,6.4,0.0,90,25.0,40.0,ambient,rough,woven_pp_pe_liner_sack,lentils:29
